 PROD	ASSET	                 WW0	                 US0	                 UL0	                 WW1	                 US1	                 UL1
    0	    0	   0.000000281456640	   0.000000002897247	   0.000000000391286	   0.026440411579950	   0.001373809449474	   0.000039743762289
    0	    1	   0.000000206249038	   0.000000006416856	   0.000000000698450	   0.008152964937195	   0.000347069391476	   0.000326840109932
    0	    2	   0.000000089321885	   0.000000003136430	   0.000000000878782	   0.003810999621201	   0.000182414307159	   0.000073957161731
    0	    3	   0.000000119663600	   0.000000005367193	   0.000000001208465	   0.005477964257951	   0.000267190537047	   0.000093244417929
    0	    4	   0.000000059475750	   0.000000002465155	   0.000000001115682	   0.003233514700308	   0.000146836798816	   0.000134987423419
    0	    5	   0.000000078378660	   0.000000004045708	   0.000000001424825	   0.004185583879574	   0.000200498874889	   0.000112726142615
    0	    6	   0.000000074542558	   0.000000003549983	   0.000000002053849	   0.004547557592040	   0.000223560284146	   0.000090230011363
    0	    7	   0.000000081210740	   0.000000003761827	   0.000000002725788	   0.002965160280986	   0.000145289078337	   0.000067051629922
    0	    8	   0.000000081906079	   0.000000003633746	   0.000000003345481	   0.003414981282362	   0.000158388035798	   0.000106156122652
    0	    9	   0.000000102070654	   0.000000004546419	   0.000000004883465	   0.004345618518002	   0.000200116772879	   0.000083056133332
    0	   10	   0.000000111224985	   0.000000005118197	   0.000000005687136	   0.004294886434776	   0.000204760431471	   0.000119994927652
    0	   11	   0.000000103502858	   0.000000004802553	   0.000000005790563	   0.003036314404410	   0.000143314785027	   0.000090026144891
    0	   12	   0.000000105566007	   0.000000003990790	   0.000000007352601	   0.003103248548493	   0.000147262849302	   0.000087363812375
    0	   13	   0.000000140862056	   0.000000003848380	   0.000000011928039	   0.003571443541174	   0.000171226979601	   0.000082601708660
    0	   14	   0.000000148069268	   0.000000003934267	   0.000000013421276	   0.003892582879552	   0.000176188499316	   0.000091595188160
    0	   15	   0.000000283030394	   0.000000004384153	   0.000000028275527	   0.003826392254316	   0.000178780634571	   0.000100884339747
    0	   16	   0.000000316113302	   0.000000005741370	   0.000000031875886	   0.003441502487113	   0.000162479037633	   0.000082156025202
    0	   17	   0.000000502822829	   0.000000006057429	   0.000000062015613	   0.003467923495631	   0.000159129905211	   0.000086053104527
    0	   18	   0.000000876465717	   0.000000005308322	   0.000000128435507	   0.003705116606056	   0.000165160490896	   0.000098859165022
    0	   19	   0.000000857615725	   0.000000005464231	   0.000000128497722	   0.003419802640783	   0.000156565679245	   0.000085247378192
    0	   20	   0.000000700900453	   0.000000004935524	   0.000000100424803	   0.003566483984178	   0.000160088338058	   0.000082784662644
    0	   21	   0.000000672852088	   0.000000003892457	   0.000000102591515	   0.003527116248480	   0.000158228973767	   0.000080606106962
    0	   22	   0.000001441819218	   0.000000007915342	   0.000000249986041	   0.003355014705573	   0.000148360652729	   0.000080417901937
